,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,UnitsCO,Boro,BIN,BBL,AddressNum,AddressSt,Occ_Init,Occ_Prop,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock10,BCTCB2010,BCT2010,NTA2010,NTAName10,PUMA2010,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,Latitude,Longitude,GeomSource,DCPEdited,Version
26266,321255342,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3029949,3012040076,1511,PACIFIC STREET,Empty Site,Residential: 1-2 Family Houses (R-3),NEW BUILDING APPLICATION FOR PROPOSED FOUR (4) STORY TWO (2) FAMILY DWELLING . SPRINKLER APPLICATION # B00362886-I1,2015-10-13,10/26/2020 0:00:00,2020-11-04,,R6, , , , ,Yes,0.0,4.0, ,Private For-Profit: Individual,360470311003000,30311003000,3031100,BK61,Crown Heights North,4006,308,36,17_1,17,158,270,E234,38,15,77, , ,40.677351,-73.941065,Lat/Lon geosupport, ,20Q4
26531,321286381,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3057456,3020000020,1230,BEDFORD AVENUE,Commercial: Not Specified (COM),Residential: 3 or More Units (R-2),VERTICAL ENLARGEMENT TO EXISTING 1 STORY BUILDING. NEW CO AS RETAIL STORES &amp; 8-CLASS 'A' APARTMENTS,2016-08-29,6/5/2020 0:00:00,2020-11-16,,R6A, , , , , ,1.0,5.0, ,Private For-Profit: Partnership,360470227001002,30227001002,3022700,BK69,Clinton Hill,4004,303,36,13_3,13,237,286,E235,57,11,79, , ,40.681803951,-73.9538329756,BIN DOB buildingfootprints, ,20Q4
26576,321291936,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,3.0,3.0, , , , ,0.0,3,3328741,3057200058,1451,61 STREET,Empty Site,Residential: 3 or More Units (R-2),NEW THREE STORY AND CELLAR BUILDING.,2018-10-23,6/24/2020 0:00:00,2020-12-09,,R5, , , , , ,0.0,3.0, ,Private For-Profit: Individual,360470242002005,30242002005,3024200,BK88,Borough Park,4014,312,44,20_3,20,228,351,E247,40,8,66, , ,40.6262053017,-73.9953661266,BIN DOB buildingfootprints, ,20Q4
26910,321358320,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3183262,3068040063,1869,EAST   21 STREET,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),"ENLARGE EXISTING ONE FAMILY RESIDENCE AT REAR AND SIDE, NEW PLUMBING",2016-06-02,1/7/2020 0:00:00,2020-09-08,,R3-2, , , , , ,2.0,2.0, ,Private For-Profit: Individual,360470550002001,30550002001,3055000,BK44,Madison,4016,315,48,22_3,22,8,187,E276,33,15,61, , ,40.6072804907,-73.951618472,BIN DOB buildingfootprints, ,20Q4
26972,321363877,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,60.0,60.0, , , , ,0.0,3,3382135,3052320037,1039,CONEY ISLAND AVENUE,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCTION OF A NEW MIXED BUILDING,2016-11-14,1/27/2020 0:00:00,2020-07-17,,R7A, , , , , ,0.0,6.0, ,Private For-Profit: Individual,360470526002002,30526002002,3052600,BK42,Flatbush,4015,314,40,22_1,22,14,211,E281,41,15,70, , ,40.63278,-73.966559,Lat/Lon geosupport, ,20Q4
27003,321368300,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,12.0,12.0, , , , ,0.0,3,3055154,3019250056,978,KENT AVENUE,Empty Site,Residential: 3 or More Units (R-2),NEW 6 STORY RESIDENTIAL BUILDING WITH CELLAR.,2016-04-14,6/24/2020 0:00:00,2020-07-06,,R7A, , , , , ,0.0,6.0, ,Private For-Profit: Individual,360470235001003,30235001003,3023500,BK69,Clinton Hill,4004,303,33,14_1,14,28,289,E230,57,11,79, , ,40.6908895211,-73.9589422147,BIN DOB buildingfootprints, ,20Q4
27022,321371608,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3042166,3015510009,2114,FULTON STREET,Empty Site,Residential: 3 or More Units (R-2),PROPOSED FOUR STORY &amp; MEZZANINE 8 FAMILY DWELLING,2016-04-20,1/16/2020 0:00:00,2020-08-14,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Corporation,360470301001000,30301001000,3030100,BK79,Ocean Hill,4007,316,41,23_2,23,47,248,L176,44,15,73, , ,40.678134,-73.912659,Lat/Lon geosupport, ,20Q4
27033,321372741,Alteration,Residential, ,3. Permitted for Construction, ,2020,3.0,2.0,-1.0, , , , ,0.0,3,3020474,3009620051,127,GARFIELD PLACE,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),CONVERSION OF AN EXISTING 3-FAMILY TOWNHOUSE TO A 2-FAMILY TOWNHOUSE. WORK INCLUDES A HORIZONTAL AND VERTICAL ADDITION.,2019-02-20,1/30/2020 0:00:00,2020-12-21,,R6B, , , , , ,3.0,4.0,Horizontal and Vertical,Private For-Profit: Individual,360470133003000,30133003000,3013300,BK37,Park Slope-Gowanus,4005,306,39,15_2,15,110,279,Q001,48,11,78, , ,40.6739348581,-73.9799919568,BIN DOB buildingfootprints, ,20Q4
27102,321383052,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,2.0,8.0,6.0, , , , ,0.0,3,3139244,3056730083,915,55 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),"PROPOSED HORIZONTAL ENLARGEMENT AT 1ST AND 2ND FLOOR, AND VERTICAL ENLARGEMENT AT 3RD TO 5TH FLOOR. CONVERT EXIST. 2-FAMILY TO 8-FAMILY AND COMMUNITY FACILITY MIXED USE BUILDING. OBTAIN NEW CERTIFICATION OF OCCUPANCY.",2018-06-12,2/27/2020 0:00:00,2020-02-27,,R6, , , , , ,2.0,5.0,Horizontal and Vertical,Private For-Profit: Corporation,360470116001002,30116001002,3011600,BK88,Borough Park,4014,312,38,20_1,20,227,335,E247,40,8,66, , ,40.6368550398,-74.003822749,BIN DOB buildingfootprints, ,20Q4
27111,321383150,Alteration,Residential, ,3. Permitted for Construction, ,2020,7.0,8.0,1.0, , , , ,0.0,3,3029556,3011770033,820,CLASSON AVENUE,Residential: 3 or More Units (J-0),Residential: 3 or More Units (R-2),THIS APPLICATION IS FILED TO CONVERT EXISTING 7 UNIT BUILDING TO 8 UNIT RESIDENCE BUILDING.,2018-06-20,1/22/2020 0:00:00,2020-10-23,,R7A, , , , , ,4.0,6.0,Horizontal and Vertical,Private For-Profit: Corporation,360470215002000,30215002000,3021500,BK64,Prospect Heights,4006,308,35,17_1,17,155,396,E280,38,15,77, , ,40.6726925543,-73.9611027139,BIN DOB buildingfootprints, ,20Q4
27128,321383409,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,1.0,0.0, , , , ,0.0,3,3238037,3084440046,2220,BERGEN AVENUE,Residential: Not Specified (RES),Residential: 1-2 Family Houses (R-3),RENOVATION &amp; VERTICAL ENLARGEMENT OF SINGLE FAMILY DWELLING,2018-07-10,1/23/2020 0:00:00,2020-11-20,,R3-1, , , , , ,1.0,2.0, ,Private For-Profit: Individual,360470706002005,30706002005,3070600,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,318,46,22_2,22,27,205,E323,58,15,63, ,1,40.6200628033,-73.9018131234,BIN DOB buildingfootprints, ,20Q4
27141,321383551,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,31.0,31.0, , , , ,0.0,3,3329934,3022990021,215,NORTH   10 STREET,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT NEW SIX (6) STORY MIXED-USE BUILDING AS PER PLANS FILED.,2018-07-20,1/6/2020 0:00:00,2020-09-18,,M1-2/R6A, , ,MX-8,GW, ,0.0,6.0, ,Private For-Profit: Partnership,360470519001003,30519001003,3051900,BK73,North Side-South Side,4001,301,33,14_3,14,42,309,E229,35,11,94,1, ,40.7182512273,-73.9536708355,BIN DOB buildingfootprints, ,20Q4
27145,321383604,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3071970,3031580004,37,WILSON AVENUE,Empty Site,Residential: 3 or More Units (R-2),NEW FOUR STORIES AND CELLAR BUILDING.,2018-07-26,3/5/2020 0:00:00,2020-07-01,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Individual,360470427004001,30427004001,3042700,BK77,Bushwick North,4002,304,34,32_2,32,78,302,E218,28,11,83, , ,40.7029497516,-73.9292953421,BIN DOB buildingfootprints, ,20Q4
27159,321383775,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,75.0,75.0, , , , ,0.0,3,3054204,3018840048,378,FLUSHING AVENUE,Empty Site,Residential: 3 or More Units (R-2),HEREWITH FILING NEW RESIDENTIAL BUILDING AS PER PLANS.,2018-08-06,10/29/2020 0:00:00,2020-11-30,,R7A, , , ,MIH, ,0.0,7.0, ,Private For-Profit: Corporation,360471237001000,31237001000,3123700,BK75,Bedford,4003,303,33,14_1,14,28,289,L119,31,11,79, , ,40.698367,-73.959385,Lat/Lon geosupport, ,20Q4
27160,321383784,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,86.0,86.0, , , , ,0.0,3,3054203,3018840048,376,FLUSHING AVENUE,Empty Site,Residential: 3 or More Units (R-2),HEREWITH FILING NEW MIXED USE MIH BUILDING AS PER PLANS.,2018-08-06,10/30/2020 0:00:00,2020-10-30,,R7A, , , ,MIH, ,0.0,9.0, ,Private For-Profit: Corporation,360471237001000,31237001000,3123700,BK75,Bedford,4003,303,33,14_1,14,28,289,L119,31,11,79, , ,40.698367,-73.959385,Lat/Lon geosupport, ,20Q4
27191,321384177,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,275.0,275.0, , , , ,0.0,3,3424693,3041420032,110,DINSMORE PLACE,Empty Site,Residential: 3 or More Units (R-2),A 14 STORY NB.,2018-08-08,1/23/2020 0:00:00,2020-06-18,,M1-4,R8A, , ,MIH, ,0.0,14.0, ,"Government, City: Corporation",360471178001006,31178001006,3117800,BK83,Cypress Hills-City Line,4008,305,37,19_1,19,206,411,E236,39,15,75, , ,40.6809622162,-73.8759992058,BBL DOB MapPLUTO, ,20Q4
27213,321384480,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,20.0,20.0, , , , ,0.0,3,3057550,3020100059,550,CLINTON AVENUE,Empty Site,Residential: 3 or More Units (R-2),NEW 4 STORY BUILDING,2018-09-26,8/3/2020 0:00:00,2020-10-20,,R9,R7A,R6A, ,MIH, ,0.0,4.0, ,Private For-Profit: Corporation,360470199003002,30199003002,3019900,BK69,Clinton Hill,4004,302,35,13_2,13,235,286,E219,57,11,88, , ,40.6819476155,-73.9670582303,BIN DOB buildingfootprints, ,20Q4
27222,321384612,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,14.0,14.0, , , , ,0.0,3,3428833,3009550033,670,UNION STREET,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCTION OF NEW 6 STORY BUILDING,2018-10-23,8/26/2020 0:00:00,2020-10-15,,R6A,R6B, , , , ,0.0,6.0, ,Private For-Profit: Partnership,360470133001001,30133001001,3013300,BK37,Park Slope-Gowanus,4005,306,39,13_1,13,233,283,Q001,48,11,78, , ,40.676552,-73.981523,Lat/Lon geosupport, ,20Q4
27233,321384756,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,243.0,243.0, , , , ,0.0,3,3329131,3064710113,2230,CROPSEY AVENUE,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT THIRTY (30) STORY MIXED USE NEW BUILDING AS PER PLANS FILED.,2018-11-02,1/8/2020 0:00:00,2020-02-11,,R6, , , , , ,0.0,30.0, ,Private For-Profit: Corporation,360470294001003,30294001003,3029400,BK28,Bensonhurst West,4017,311,43,21_1,21,132,181,L166,43,8,62, , ,40.5962,-73.998135,Lat/Lon geosupport, ,20Q4
27236,321384783,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,46.0,46.0, , , , ,0.0,3,3056489,3019720001,10,QUINCY STREET,Commercial: Not Specified (COM),Residential: 3 or More Units (R-2),CONVERSION OF EASTERN PORTION OF EXISTING FACTORY BUILDING (FORMERLY THE SALVATION ARMY LOCATED AT 22 QUINCY ST) TO USE GROUP 2 RESIDENTIAL,2018-11-07,2/13/2020 0:00:00,2020-10-19,,R6B, , , , , ,4.0,4.0, ,Private For-Profit: Partnership,360470231002002,30231002002,3023100,BK69,Clinton Hill,4004,302,35,13_3,13,236,286,E219,57,11,88, , ,40.6855819234,-73.9606160696,BIN DOB buildingfootprints,classa_init,20Q4
27238,321384827,Alteration,Residential, ,3. Permitted for Construction, ,2020,1.0,2.0,1.0, , , , ,0.0,3,3140573,3057010019,928,58 STREET,Residential: 1-2 Family Houses (J-3),Residential: 1-2 Family Houses (R-3),"FILE VERTICAL AND HORIZONTAL EXTENSION WORK ON EXISTING BUILDING , OBTAIN NEW C/O",2018-11-08,7/22/2020 0:00:00,2020-07-29,,R6, , , , , ,2.0,4.0,Horizontal and Vertical,Private For-Profit: Individual,360470116003000,30116003000,3011600,BK88,Borough Park,4014,312,38,20_1,20,226,219,E284,42,8,66, , ,40.634674028,-74.0054940675,BIN DOB buildingfootprints, ,20Q4
27245,321384925,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,1.0,1.0, , , , ,0.0,3,3177165,3066580016,1774,EAST    2 STREET,Empty Site,Residential: 1-2 Family Houses (R-3),NEW ONE (1) FAMILY DWELLING,2018-11-16,3/17/2020 0:00:00,2020-03-24,,R5, , ,OP, , ,0.0,3.0, ,Private For-Profit: Individual,360470422002004,30422002004,3042200,BK25,Homecrest,4016,315,44,21_3,21,137,192,L153,33,15,61, , ,40.6062317674,-73.9716189746,BIN DOB buildingfootprints, ,20Q4
27255,321385078,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,43.0,43.0, , , , ,0.0,3,3056489,3019720001,26,QUINCY STREET,Empty Site,Residential: 3 or More Units (R-2),NEW UG2 RESIDENTIAL BUILDING RECONSTRUCTING DAMAGED FLOOR AREA OF WESTERN PORTION OF EXISTING FACTORY BUILDING (FORMERLY THE SALVATION ARMY LOCATED AT 22 QUINCY ST),2018-11-28,5/5/2020 0:00:00,2020-05-05,,R6B, , , , , ,0.0,5.0, ,Private For-Profit: Individual,360470231002002,30231002002,3023100,BK69,Clinton Hill,4004,302,35,13_3,13,236,286,E219,57,11,88, , ,40.6855819234,-73.9606160696,BIN DOB buildingfootprints, ,20Q4
27258,321385103,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,17.0,17.0, , , , ,0.0,3,3426417,3005560024,142,RICHARDS STREET,Empty Site,Residential: 3 or More Units (R-2),NEW FOUR (4) STORY BUILDING WITH SEVENTEEN (17) DWELLING UNITS.,2018-12-03,7/28/2020 0:00:00,2020-10-08,,R5, , , , , ,0.0,4.0, ,Private For-Profit: Partnership,360470053002006,30053002006,3005300,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,306,38,15_3,15,100,280,L101,32,11,76,1,1,40.6775018431,-74.0107939725,BBL DOB MapPLUTO, ,20Q4
27263,321385167,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,4.0,4.0,0.0, , , , ,0.0,3,3053081,3018460008,441,TOMPKINS AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),"FILING OF ALT 1 APPLICATION TO CONVERT EXIST GROUND FLOOR STORE TO RESIDENTIAL USE,NO CHANGE TO EXISTING BUILDING BULK PROPOSED UNDER THIS APPLICATION,",2018-12-04,8/18/2020 0:00:00,2020-08-18,,R6A, , , , , ,4.0,4.0, ,Private For-Profit: Individual,360470269001000,30269001000,3026900,BK75,Bedford,4003,303,36,13_3,13,239,286,E235,57,11,79, , ,40.6823022364,-73.9434618742,BIN DOB buildingfootprints, ,20Q4
27265,321385210,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,13.0,13.0, , , , ,0.0,3,3428821,3028330033,18,MONITOR STREET,Empty Site,Residential: 3 or More Units (R-2),"FILING APPLICATION HEREWITH TO ERECT NEW FIVE STORY RESIDENTIAL BUILDING, 13 RESIDENTIAL UNITS, FIVE STORIES AND CELLAR.",2018-12-06,7/20/2020 0:00:00,2020-11-30,,R6B, , , , , ,0.0,5.0, ,Private For-Profit: Corporation,360470477001009,30477001009,3047700,BK90,East Williamsburg,4001,301,34,14_2,14,46,403,L146,35,11,94, , ,40.719733,-73.94136,Lat/Lon geosupport, ,20Q4
27280,321385407,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,1.0,0.0,-1.0, , , , ,0.0,3,3023919,3010470039,552,5 AVENUE,Commercial: Not Specified (COM),Commercial: Retail (M),"APPLICATION FILED FOR INTERIOR RENOVATION TO ELIMINATE EXISTING APARTMENT; EXPAND EXISTING DAYCARE USE ON SECOND FLOOR,AS PER DRAWINGS FILED HEREWITH.",2018-12-17,10/23/2020 0:00:00,2020-12-18,,C4-3A, , , , , ,2.0,2.0, ,Private For-Profit: Corporation,360470141003002,30141003002,3014100,BK37,Park Slope-Gowanus,4005,307,39,15_2,15,111,278,E239,48,11,72, , ,40.6655782141,-73.9896706943,BIN DOB buildingfootprints, ,20Q4
27283,321385434,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,4.0,4.0,0.0, , , , ,0.0,3,3074794,3032790001,431,KNICKERBOCKER AVENUE,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),HEREWITH FILING ALT I FOR INTERIOR RENOVATION OF EXISTING MIXED-USE BUILDING AND RELOCATION OF MAIN EGRESS STAIR.,2018-12-18,11/2/2020 0:00:00,2020-11-02,,C4-3, , , , , ,3.0,3.0, ,Private For-Profit: Partnership,360470431002000,30431002000,3043100,BK77,Bushwick North,4002,304,37,32_2,32,82,405,L124,28,11,83, , ,40.6996433486,-73.9193158085,BIN DOB buildingfootprints, ,20Q4
27294,321385568,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3036311,3013680050,194,BUFFALO AVENUE,Empty Site,Residential: 3 or More Units (R-2),THIS APPLICATION IS FILED FOR 4-STORY W/ PENTHOUSE 8 UNIT RESIDENTIAL BUILDING.,2018-12-28,11/13/2020 0:00:00,2020-11-13,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Corporation,360470347002000,30347002000,3034700,BK61,Crown Heights North,4006,308,36,17_1,17,161,270,L123,38,15,77, , ,40.672561,-73.925493,Lat/Lon geosupport, ,20Q4
27299,321385639,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,19.0,19.0, , , , ,0.0,3,3428891,3010460025,114,15 STREET,Empty Site,Residential: 3 or More Units (R-2),APPLICATION FILED FOR THE CONSTRUCTION OF A 5 STORE NEW BUILDING.,2019-01-08,12/24/2020 0:00:00,2020-12-24,,R6B, , , , , ,0.0,5.0, ,Private For-Profit: Individual,360470117003002,30117003002,3011700,BK37,Park Slope-Gowanus,4005,307,39,15_3,15,111,278,E239,48,11,72, , ,40.6671,-73.993068,Lat/Lon geosupport, ,20Q4
27305,321385719,Alteration,Residential, ,3. Permitted for Construction, ,2020,2.0,4.0,2.0, , , , ,0.0,3,3012250,3007650048,465,48 STREET,Residential: Not Specified (RES),Residential: 3 or More Units (R-2),PROPOSED VERTICAL ENLARGEMENT ON A 2 STORY BUILDING.  INSTALL PLUMBING FIXTURES. OBTAIN NEW C OF O.,2019-01-14,2/5/2020 0:00:00,2020-07-30,,R6B, , , , , ,2.0,4.0, ,Private For-Profit: Individual,360470080002001,30080002001,3008000,BK32,Sunset Park West,4012,307,38,15_1,15,93,275,E201,40,8,72, , ,40.646687869,-74.0095499894,BIN DOB buildingfootprints, ,20Q4
27311,321385782,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3426526,3043130070,755,CLEVELAND STREET,Empty Site,Residential: 1-2 Family Houses (R-3),"PROPOSED NEW TWO STORY WITH BASEMENT AND CELLAR, TWO FAMILY DWELLING BUILDING.",2019-01-16,8/27/2020 0:00:00,2020-11-19,,R5, , , , , ,0.0,3.0, ,Private For-Profit: Corporation,360471120002004,31120002004,3112000,BK82,East New York,4008,305,42,19_2,19,192,69,E225,39,15,75, , ,40.665936,-73.881812,Lat/Lon DCP,longitude/nlatitude,20Q4
27312,321385791,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3426527,3043130070,757,CLEVELAND STREET,Empty Site,Residential: 1-2 Family Houses (R-3),"PROPOSED NEW TWO STORY WITH BASEMENT AND CELLAR, TWO FAMILY DWELLING BUILDING.",2019-01-16,9/4/2020 0:00:00,2020-11-25,,R5, , , , , ,0.0,3.0, ,Private For-Profit: Corporation,360471120002004,31120002004,3112000,BK82,East New York,4008,305,42,19_2,19,192,69,E225,39,15,75, , ,40.6659,-73.881795,Lat/Lon DCP,longitude/nlatitude,20Q4
27313,321385808,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3097078,3043130070,759,CLEVELAND STREET,Empty Site,Residential: 1-2 Family Houses (R-3),"PROPOSED NEW TWO STORY WITH BASEMENT AND CELLAR, TWO FAMILY DWELLING BUILDING.",2019-01-16,9/3/2020 0:00:00,2020-12-10,,R5, , , , , ,0.0,3.0, ,Private For-Profit: Corporation,360471120002004,31120002004,3112000,BK82,East New York,4008,305,42,19_2,19,192,69,E225,39,15,75, , ,40.665909,-73.881754,Lat/Lon geosupport, ,20Q4
27320,321385880,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,50.0,50.0, , , , ,0.0,3,3426850,3019910001,108,DOWNING STREET,Empty Site,Residential: 3 or More Units (R-2),CONSTRUCT NEW EIGHT (8) STORY MIXED USE BUILDING AS PER PLANS FILED.,2019-01-18,2/4/2020 0:00:00,2020-11-05,,R7A, , , , , ,0.0,8.0, ,Private For-Profit: Corporation,360470227004004,30227004004,3022700,BK69,Clinton Hill,4004,302,35,13_3,13,236,286,E219,57,11,88, , ,40.682388,-73.960769,Lat/Lon geosupport, ,20Q4
27343,321386184,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3426630,3041920001,961,GLENMORE AVENUE,Empty Site,Residential: 1-2 Family Houses (R-3),NEW 3-STORY 2-FAMILY HOUSE,2019-02-07,8/31/2020 0:00:00,2020-09-21,,R5B, , , ,MIH, ,0.0,3.0, ,Private For-Profit: Corporation,360471196001007,31196001007,3119600,BK82,East New York,4008,305,37,19_2,19,200,410,E236,39,15,75, , ,40.676521,-73.874572,Lat/Lon geosupport, ,20Q4
27344,321386193,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,2.0,2.0, , , , ,0.0,3,3426631,3041920047,963,GLENMORE AVENUE,Empty Site,Residential: 1-2 Family Houses (R-3),NEW 3-STORY 2-FAMILY HOUSE,2019-02-07,8/31/2020 0:00:00,2020-09-21,,R5B, , , ,MIH, ,0.0,3.0, ,Private For-Profit: Corporation,360471196001007,31196001007,3119600,BK82,East New York,4008,305,37,19_2,19,200,410,E236,39,15,75, , ,40.676532,-73.874504,Lat/Lon geosupport, ,20Q4
27349,321386246,Alteration,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,1.0,1.0, , , , ,0.0,3,3055814,3019540016,214,CLIFTON PLACE,Commercial: Not Specified (COM),Residential: 1-2 Family Houses (R-3),ENLARGEMENT OF EXISTING ONE STORY BUILDING TO THREE STORY R-3 BUILDING,2019-02-12,2/28/2020 0:00:00,2020-06-08,,R6B, , , , , ,1.0,3.0, ,Private For-Profit: Individual,360470233003003,30233003003,3023300,BK75,Bedford,4003,303,36,13_3,13,236,286,L102,57,11,79, , ,40.6883869512,-73.9558319137,BIN DOB buildingfootprints, ,20Q4
27357,321386344,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,12.0,12.0, , , , ,0.0,3,3090880,3041040049,44,EUCLID AVENUE,Empty Site,Residential: 3 or More Units (R-2),"PROPOSED FOUR (4) STORY NEW BUILDING W/ CELLAR, TWELVE (12) DWELLING UNITS. OBTAIN NEW CERTIFICATE OF OCCUPANCY.",2019-02-20,7/7/2020 0:00:00,2020-09-10,,R5, , , , , ,0.0,4.0, ,Private For-Profit: Partnership,360471176021001,31176021001,3117602,BK83,Cypress Hills-City Line,4008,305,37,19_1,19,206,411,E236,39,15,75, , ,40.6875315787,-73.8754779355,BIN DOB buildingfootprints, ,20Q4
27372,321386558,New Building,Residential, ,3. Permitted for Construction, ,2020,0.0,8.0,8.0, , , , ,0.0,3,3338508,3034380033,42,COOPER STREET,Empty Site,Residential: 3 or More Units (R-2),NEW 4 STORY RESIDENTIAL BUILDING,2019-02-28,9/25/2020 0:00:00,2020-10-05,,R6, , , , , ,0.0,4.0, ,Private For-Profit: Partnership,360470403002001,30403002001,3040300,BK78,Bushwick South,4002,304,37,32_1,32,92,407,Q252,37,15,83, , ,40.684684,-73.910188,Lat/Lon geosupport, ,20Q4
27373,321386567,New Building,Residential,Non-Residential,3. Permitted for Construction, ,2020,0.0,44.0,44.0, , , , ,0.0,3,3329688,3018130018,420,GATES AVENUE,Empty Site,Residential: 3 or More Units (R-2),"PROPOSED NEW 6 STORY BUILDING THAT WILL CONTAIN: 44 RESIDENTIAL APARTMENTS, 22 SELF-PARKED PARKING SPACES AND COMMUNITY FACILITY.",2019-02-28,2/18/2020 0:00:00,2020-10-16,,R6A, , , , , ,0.0,6.0, ,Private For-Profit: Partnership,360470251003001,30251003001,3025100,BK75,Bedford,4003,303,36,13_3,13,240,286,E235,57,11,79, , ,40.686105,-73.949517,Lat/Lon geosupport, ,20Q4
27380,321386656,Alteration,Residential, ,3. Permitted for Construction, ,2020,4.0,4.0,0.0, , , , ,0.0,3,3341261,3081900069,704,EAST  103 STREET,Residential: 3 or More Units (J-0),Residential: 3 or More Units (R-2),ALT. 1 APPLICATION FILED TO REAPPORTION EXISTING TAX LOT 39 INTO NINE (9) TAX LOT; 62 THRU 70. TAX LOT 62 THRU 70 WILL BE REMAIN UNDER THE SAME ZONING. A NEW C OF O IS TO BE OBTAINED FOR EACH TAX LOT/HOUSE. THE PREVIOUSLY C OF O COMBINED ALL HOUSE ON ONE,2019-03-06,2/5/2020 0:00:00,2020-02-05,,R4, , , , , ,3.0,4.0, ,Private For-Profit: Corporation,360470974002000,30974002000,3097400,BK50,Canarsie,4009,318,46,18_2,18,750,228,L170,58,15,69, , ,40.6477533356,-73.8978727519,BIN DOB buildingfootprints, ,20Q4
